date,url
2004-05-11,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-05-11/toc_unixml/3354-2.xml;fileType=text%2Fxml
2004-05-12,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-05-12/toc_unixml/3364-2.xml;fileType=text%2Fxml
2004-05-13,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-05-13/toc_unixml/3367-2.xml;fileType=text%2Fxml
2004-06-15,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-06-15/toc_unixml/3454-2.xml;fileType=text%2Fxml
2004-06-16,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-06-16/toc_unixml/3457-2.xml;fileType=text%2Fxml
2004-06-17,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-06-17/toc_unixml/3464-2.xml;fileType=text%2Fxml
2004-06-18,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-06-18/toc_unixml/3466-2.xml;fileType=text%2Fxml
2004-06-21,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-06-21/toc_unixml/3477-2.xml;fileType=text%2Fxml
2004-06-22,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-06-22/toc_unixml/3489-4.xml;fileType=text%2Fxml
2004-06-23,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-06-23/toc_unixml/3493-2.xml;fileType=text%2Fxml
2004-06-24,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-06-24/toc_unixml/3497-9.xml;fileType=text%2Fxml
2004-08-03,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-08-03/toc_unixml/3554-2.xml;fileType=text%2Fxml
2004-08-04,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-08-04/toc_unixml/3561-3.xml;fileType=text%2Fxml
2004-08-05,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-08-05/toc_unixml/3566-2.xml;fileType=text%2Fxml
2004-08-09,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-08-09/toc_unixml/3581-4.xml;fileType=text%2Fxml
2004-08-10,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-08-10/toc_unixml/3587-5.xml;fileType=text%2Fxml
2004-08-11,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-08-11/toc_unixml/3592-4.xml;fileType=text%2Fxml
2004-08-12,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-08-12/toc_unixml/3595-5.xml;fileType=text%2Fxml
2004-08-30,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-08-30/toc_unixml/3609-7.xml;fileType=text%2Fxml
2004-11-16,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-11-16/toc_unixml/3628-2.xml;fileType=text%2Fxml
2004-11-17,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-11-17/toc_unixml/3631-7.xml;fileType=text%2Fxml
2004-11-18,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-11-18/toc_unixml/3633-2.xml;fileType=text%2Fxml
2004-11-29,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-11-29/toc_unixml/3635-3.xml;fileType=text%2Fxml
2004-11-30,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-11-30/toc_unixml/3637-2.xml;fileType=text%2Fxml
2004-12-01,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-12-01/toc_unixml/3640-2.xml;fileType=text%2Fxml
2004-12-02,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-12-02/toc_unixml/3642-2.xml;fileType=text%2Fxml
2004-12-06,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-12-06/toc_unixml/3643-5.xml;fileType=text%2Fxml
2004-12-07,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-12-07/toc_unixml/3647-3.xml;fileType=text%2Fxml
2004-12-08,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-12-08/toc_unixml/3648-4.xml;fileType=text%2Fxml
2004-12-09,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-12-09/toc_unixml/3650-6.xml;fileType=text%2Fxml
2004-02-10,
